gene,gw_dist,sparsity
cd4,0.06783864157796808,0.2650602409638554
rarres2,0.06265471689555409,0.47951807228915666
prb3,0.07829891363759535,0.9485943775100402
soat1,0.06769701255185469,0.558433734939759
cd209,0.06673360074191464,0.5931726907630522
sema3d,0.00917172303645095,0.9397590361445783
stxbp1,0.07093255223567511,0.5200803212851406
ctxn2,0.07765801635351388,0.9634538152610441
hnmt,0.06851999558669945,0.6226907630522088
fcgbp,0.07529029441949055,0.633132530120482
